representation,accuracy,macro_f1,negative_f1
"TF-IDF (1-2 grams, 50k)",0.8930244022676855,0.8356300303655149,0.7385017071701144
Word2Vec mean (100d),0.851244762139512,0.7885720931508337,0.6734601857696817
Sentence-BERT (384d),0.8498479993426998,0.7863694006695658,0.6699178181161384
"DistilBERT fine-tuned (86,739 reviews)",0.9292169912086107,0.8871406475565995,0.818229771072898
