topics,c_v_coherence,log_perplexity_bound
5,0.3631000373859634,-7.845252058698578
8,0.3900443546437945,-7.842137207827255
10,0.3973181220999669,-7.844625768978047
12,0.382792348829355,-7.862646736204974
