Word,Frequency
game,32345
not,11796
just,8395
play,6972
like,6827
no,6033
time,5154
don,4322
players,4010
new,3892
good,3788
money,3764
fun,3737
people,3482
games,3403
playing,3189
really,3009
crash,2824
make,2815
player,2778
