topic,mean_topic_probability,dominant_review_count,dominant_review_share
0,0.22576868090046653,205175,0.2433595779355564
4,0.11875088879752697,107084,0.12701312071963505
6,0.10451843478187123,95899,0.11374650987908821
1,0.10426484582635513,78071,0.09260058783480846
2,0.09882151644564842,83168,0.09864617705736252
3,0.09559040614369081,77183,0.09154732449762423
7,0.09356570207859635,83310,0.09881460430272307
9,0.06837890678967004,59472,0.07054017701466266
5,0.053955652468479394,33855,0.04015566473014871
8,0.03638497383379382,19877,0.023576256028390665
