epoch,step,loss,elapsed_seconds
1,250,0.5379880241453647,140.96916389465332
1,500,0.3410911825299263,281.856232881546
1,750,0.2923922888189554,422.739266872406
1,1000,0.29091784542799,563.3315479755402
1,1250,0.2724397871643305,703.4589128494263
1,1500,0.2728309681639075,843.9083790779114
1,1750,0.2616084266975522,984.4291989803314
1,2000,0.26899407102167605,1124.3370270729065
1,2250,0.24435693142563106,1265.5826208591461
1,2500,0.24212140631675722,1406.7566258907318
2,2750,0.032369774252176284,1589.8304879665375
2,3000,0.19302764973416925,1726.1131119728088
2,3250,0.1927791586741805,1862.3921139240265
2,3500,0.17696274130791426,1999.24005484581
2,3750,0.1855913133211434,2135.6899218559265
2,4000,0.16516913283616305,2272.450562953949
2,4250,0.1773652591854334,2408.718151807785
2,4500,0.1725850125439465,2545.2968230247498
2,4750,0.17862197922170162,2682.0429689884186
2,5000,0.1627356347963214,2818.50497508049
2,5250,0.18477371747419238,2955.449877977371
